transTime,feedNet,netTime
clockPerSec: ,1000000
11413,727,1598766
17215,267,1111106
9136,181,947273
7451,253,1082000
13033,226,933875
7090,205,1039643
7000,213,934778
2960,217,899826
6915,189,906865
6888,7422,863819
9036,216,811428
2889,215,801605
12220,234,843667
8803,228,1015438
6436,216,931973
6719,219,929965
6711,282,985822
2683,3738,863011
6904,226,878250
6792,219,795122
8324,210,880876
12564,229,878159
2693,354,837885
6774,252,990815
7123,222,1011797
6854,305,910175
2741,202,883645
10912,234,903889
16914,293,936447
10934,235,825968
10793,366,934882
3001,6273,915042
10818,208,942854
11994,210,1050646
12747,194,965631
6174,255,947959
14870,3584,972113
14609,244,926003
18427,369,910823
23243,198,304953
18691,155,229015
9578,158,224574
16099,179,224457
20566,229,223782
14938,185,224871
14716,181,223347
7600,159,224441
17119,178,224021
14998,172,224155
14095,176,223940
2712,190,224215
14835,174,224073
14880,174,224891
15078,177,223894
2737,174,224069
21852,187,224140
14547,179,223143
14869,216,224023
6118,181,224767
2875,203,223664
16860,186,223932
17394,175,224262
6050,151,224236
2946,176,224492
16838,174,223911
15370,184,223562
14998,152,224147
2874,163,223421
21449,247,223488
12830,184,223095
14804,179,223994
5778,219,224577
14830,167,224267
15774,181,223583
6844,158,224215
4456,180,231918
14575,212,226110
13422,172,225873
11324,173,224767
13080,176,223958
11185,217,224028
3084,151,222836
5123,172,222896
16234,159,222914
15006,206,222954
15154,180,226975
11126,181,236330
15095,174,235479
13290,268,234916
3055,183,229213
3087,160,224964
17321,191,223339
17080,162,223102
15248,177,223019
11030,176,223581
13956,162,223952
11103,239,223299
3271,187,223222
11099,186,223498
15023,176,222864
15243,161,224293
12438,181,223760
3140,153,224374
3245,156,223966
15851,232,223326
15154,174,224624
6121,176,222646
5476,179,223284
14976,171,222904
15092,161,223444
15084,159,222885
15219,189,223372
16045,191,254286
4808,201,270438
12539,192,270069
11567,205,273657
12023,214,270654
10993,251,268163
11211,191,266925
14246,196,269301
3050,191,268107
11144,193,268157
4141,205,268818
15956,195,268322
19606,198,268416
17792,197,268290
23786,196,268280
11063,193,268884
11222,195,268805
11170,194,267731
14199,191,268040
3152,192,268630
11129,196,267722
15260,191,267631
11195,176,269595
11073,192,269029
11085,190,269650
3077,190,296735
3105,227,302463
11071,201,324066
11116,234,275415
15678,251,280690
11150,271,272901
11040,204,272916
3024,219,273453
10926,227,273220
10965,217,271856
10931,208,272029
11391,206,274675
14886,203,271691
11321,206,272799
15327,214,272454
11236,208,270846
11042,207,271323
2972,213,271401
11188,212,271113
11043,209,271592
16641,207,271963
11114,202,270946
15831,204,271689
13914,204,268670
3046,192,268605
3134,197,268976
11060,192,270397
11119,189,270107
16814,197,269563
11246,210,272657
14881,211,272520
11140,220,272948
3064,213,272455
11036,208,272813
11025,195,273530
11092,201,273481
16294,211,270725
11124,191,267275
15164,192,268077
3052,190,267451
3078,191,268041
11048,189,266881
11044,198,266989
11131,188,267695
14768,198,267658
11226,192,268782
7977,196,268102
11112,189,269027
11070,192,267853
10954,169,268193
10949,173,268418
3246,191,268189
15035,192,267925
15074,191,268516
11212,196,268211
11680,188,268585
11129,189,268730
11015,189,267673
11000,200,267880
11235,193,273198
6131,211,268443
3067,169,268034
11135,191,267864
10980,186,267569
10913,201,268564
11094,198,268369
11238,195,268059
11091,187,267420
5960,201,267668
3050,197,267302
11124,193,267209
11024,202,268706
11110,193,268563
10934,194,268114
3073,189,267651
11044,172,269134
15184,195,267705
11184,187,269631
11031,190,269045
11060,190,269923
3015,198,268196
11221,168,268312
15587,174,268257
15693,188,269703
15655,191,268191
11015,197,269399
3046,197,267141
10941,186,267978
12594,192,267463
11084,192,267111
11244,198,267727
11330,169,267579
15089,194,267593
11265,194,267863
2951,194,268110
11126,176,268516
10978,202,267513
11072,191,269172
11175,196,269364
11157,212,269727
15145,193,268351
13326,187,268502
11071,198,268104
11335,191,269222
3683,201,267517
11078,193,267887
14542,198,268821
13802,195,267675
15188,195,267935
12726,168,267623
3036,188,268918
3043,191,267793
3104,176,267936
11827,183,268740
16107,201,268021
17867,199,268755
27172,205,268252
4710,191,268067
3069,176,268280
11036,183,267368
11042,192,267259
11049,190,267143
13193,191,267350
15198,198,268347
12489,198,268280
19076,191,267625
3461,202,267465
13557,171,268074
11152,197,268023
2968,198,267870
11213,195,266902
15213,189,268319
12770,207,271559
15154,200,273207
11135,185,274694
11065,190,271633
11041,175,273119
3131,170,268373
3090,195,268687
15142,169,269575
12726,199,272438
13608,192,269094
10997,188,270976
15082,197,269218
3118,190,271680
11073,209,271363
11048,205,271898
15164,187,272223
15591,209,271054
14667,188,268341
11019,197,267783
3091,191,267676
15553,196,267892
11037,172,268977
11142,176,271695
16205,197,273827
12704,194,271929
3017,195,274468
10938,208,271895
9904,192,271365
13318,198,267605
11494,196,268741
13489,199,268437
11038,173,268666
12677,193,268256
3079,193,268507
11036,191,267836
11192,174,268008
11100,194,267561
11149,189,268592
15228,195,270941
11107,193,273655
12847,193,272313
28326,187,273670
11070,204,272399
3049,171,271940
11028,201,272113
11069,196,267686
15892,193,267773
11062,170,267539
12623,173,270365
11165,214,270978
10982,186,268426
11105,193,268120
10944,195,270846
3201,201,267900
5054,207,268424
13225,208,269335
20707,209,268684
12791,206,269267
2943,200,269601
2954,181,278486
12694,211,273718
11232,205,273917
17096,207,269595
11789,180,268053
13181,200,267977
12772,202,268151
11126,206,269690
10935,204,268202
11218,206,270041
3076,200,275424
5911,202,271110
16010,201,273681
20837,202,268216
11154,200,267317
10990,208,267762
6431,202,268911
11075,223,267484
11096,183,267762
15542,223,268477
11054,201,273986
12676,188,268537
3056,205,267249
11003,207,268669
11080,203,267893
10895,206,269927
11143,182,276977
15210,207,271787
3075,202,277478
12712,203,278829
13255,183,269500
10933,211,267799
11078,197,268776
3000,202,267525
11132,183,269040
15355,206,269481
11120,186,275104
20828,213,271191
11150,197,276113
11070,209,272560
2995,201,269265
11046,185,273587
4074,203,276241
5148,211,269456
3115,193,268261
12825,190,273703
11154,201,268281
11125,202,267758
11081,180,268683
11055,211,267573
12830,198,268178
5101,209,273922
18889,193,269853
22513,204,271664
12182,202,268447
11173,202,273524
11017,199,268192
3141,206,269122
11095,186,269390
11064,202,267947
11147,180,271718
12829,213,270495
3079,183,267778
11009,207,269970
10954,198,268725
11013,208,268786
10946,201,267954
2969,204,268726
9225,201,267523
21004,208,267870
11377,222,267224
11013,220,267438
14459,205,271040
12925,191,270941
11154,199,271079
3111,207,272426
3146,205,271785
12731,211,273996
11841,204,271911
11059,206,267922
11152,203,267604
2982,203,268871
2978,208,268091
11119,207,267963
11102,198,268675
20699,204,270196
11020,206,273397
3006,200,270493
11043,202,266713
10982,202,268963
11073,203,283248
11056,216,273877
11062,200,277415
12670,231,270476
12552,202,268609
11076,229,269904
10970,197,276843
11056,203,274084
10962,203,276651
13042,206,275368
11698,188,270288
11341,206,268569
17339,202,268228
11144,205,268454
11016,205,267660
11118,212,268799
3135,198,268435
2993,211,268512
11101,185,269228
11025,203,268424
11223,200,268661
14715,215,268486
11112,198,267769
3052,206,267924
3007,202,267815
11047,213,272590
11030,200,269700
11043,212,266976
10947,200,268257
3053,207,268252
11029,198,271794
11083,223,267813
11049,205,268070
10941,207,268251
2962,203,267636
3018,205,267719
11147,212,268019
10996,211,268650
10998,203,269114
10961,190,268765
2950,207,268948
9849,188,275047
15551,202,277201
11209,185,279229
11689,207,273614
11030,205,273440
11119,201,269092
12683,203,268987
11081,201,268336
11210,189,269181
11066,199,274990
11082,187,269390
3077,202,266801
11180,203,268734
11035,199,267340
11065,211,268276
11078,201,269592
11042,204,269156
3110,213,269703
3040,205,268891
15268,202,269216
11058,185,268579
10985,199,268513
13814,209,268362
11028,182,267907
11237,207,268724
3022,220,269706
11086,207,272266
14726,215,269918
16170,188,269633
11041,198,273479
5208,208,272744
5221,200,270699
10924,205,271989
10217,182,268708
11616,210,269851
11803,201,275230
11127,205,269539
11180,201,273475
11115,208,276429
15423,199,275222
11128,203,270141
11071,199,272243
11224,211,273705
3999,204,276035
11188,207,274603
11009,204,268770
11301,206,268184
12130,201,268675
12992,203,273893
16936,201,275085
19006,206,267903
22525,202,268606
11119,187,269150
11020,203,269128
11356,184,269002
11222,205,268829
6598,209,273690
5892,198,276452
12255,203,270442
11070,206,268381
2986,206,272915
3096,203,268170
14565,215,274851
11127,197,276109
16226,203,275641
11010,203,274190
3042,212,275314
11007,207,276004
11045,205,274121
10924,196,275810
11262,192,275920
11875,171,275770
14168,176,274945
11564,186,274856
11819,199,275775
11100,196,269518
11122,206,267864
2978,194,268145
3119,178,268860
11155,189,268373
11139,198,270207
11022,189,273853
11115,179,275856
11224,194,268620
11070,197,268148
4095,186,267851
3003,203,271181
11129,201,277630
15153,192,274359
11002,197,275549
11551,192,275283
13478,194,274881
6868,194,275055
11016,190,276163
11170,195,274337
11105,172,269408
15102,191,268174
11151,192,269059
3008,195,268604
11083,190,268632
11086,190,269982
11044,188,278606
11051,194,274965
11131,175,275602
4990,185,274104
11025,176,271263
10983,193,272541
9589,184,273331
11385,200,269886
11435,188,268592
11157,191,268595
11241,192,267676
16016,187,267930
11087,190,267691
11168,196,268366
3067,194,268263
3141,174,268009
11067,195,270365
11052,195,267998
11167,192,268380
15784,188,268377
15317,187,269967
11075,189,268609
3138,188,267708
11089,174,268583
11042,190,268845
11036,191,268340
11671,188,268684
13840,177,267571
3010,190,268132
3049,187,268829
11023,187,268572
11000,190,274799
11074,188,267479
11025,195,267636
3202,195,268468
3205,174,271057
11068,194,268316
11024,186,268051
11142,191,269331
11036,201,269259
10974,196,268335
5907,192,268624
11095,169,267639
14011,188,268498
11185,174,273140
11379,189,273890
11140,195,274613
11121,193,275749
11099,193,272555
11739,189,273889
13830,207,271493
14939,217,277866
11129,195,272233
3031,168,270767
3097,189,272997
11063,193,268941
11239,175,270278
11025,188,269541
11243,190,272747
15129,187,274387
11233,193,278297
3014,214,277573
11193,191,273595
11050,188,276659
11067,221,275225
11048,169,269057
11198,195,268902
6487,211,271526
3039,202,268491
11097,193,267488
11107,192,268085
13284,189,267628
11041,189,267903
11050,189,267179
7471,186,272836
13090,180,268574
17051,174,268234
18870,195,268114
19647,199,272017
16748,194,274078
14372,201,269241
11426,191,267947
12688,188,268345
10421,197,267782
3121,197,267775
3115,190,267874
11198,201,267918
11279,202,267990
11166,169,267657
11127,195,267356
20582,168,267465
11237,190,268018
11110,186,267849
3188,193,271545
11192,195,272056
17942,187,272542
11023,186,275488
11086,196,276162
12800,196,268528
3160,196,267551
10976,192,268272
11238,207,267995
11120,172,267814
14392,201,268637
11168,201,271428
11016,226,276854
12741,190,269883
13096,195,268317
11903,188,276441
11063,201,276264
4594,186,274621
7785,192,275492
11059,189,271042
8323,197,273228
20770,196,269068
11146,195,271283
12476,188,275878
10992,195,277616
3285,171,274580
6401,202,275338
3071,192,275747
11164,200,269516
12771,185,268914
11023,196,268946
11104,193,269123
11456,195,268465
3158,189,269270
3883,193,274572
13683,188,268708
11119,201,267329
20813,187,269282
